
Run date and time:,Thu Jul  7 18:28:37 2022
Calculation time:,5.642625 seconds
Parameter name,Value
PEEL_THE_ONION,
USE_SUPER_EFFICIENCY,
PRICE_RATIO_RESTRICTIONS,
WEAKLY_DISPOSAL_CATEGORIES,
CATEGORICAL_CATEGORY,
INPUT_CATEGORIES,DeadlinesMissed; Holidays Taken
OUTPUT_FILE,auto
OUTPUT_CATEGORIES,Experience(yrs);TaskAssigned;TaskCompleted;DeadlinesMet;number of EOM;EOM points (agg) ;EOY(points);Manager Score
ABS_WEIGHT_RESTRICTIONS,
DEA_FORM,env
DATA_FILE,sample.csv
VIRTUAL_WEIGHT_RESTRICTIONS,
RETURN_TO_SCALE,both
NON_DISCRETIONARY_CATEGORIES,
MAXIMIZE_SLACKS,
ORIENTATION,input
MULTIPLIER_MODEL_TOLERANCE,0.000000
