
input orientation, VRS
Efficient Peers,1.000000,3.000000,4.000000,7.000000,12.000000,13.000000,16.000000,17.000000,21.000000,24.000000,25.000000,31.000000,35.000000,36.000000,37.000000,38.000000,39.000000,40.000000,41.000000,45.000000,46.000000,47.000000,50.000000,52.000000,54.000000,55.000000,57.000000,60.000000,61.000000,63.000000,64.000000,68.000000,72.000000,74.000000,75.000000,76.000000,77.000000,78.000000,80.000000,83.000000,88.000000,92.000000,95.000000,97.000000,100.000000,103.000000,104.000000,107.000000,108.000000,111.000000,115.000000,117.000000,118.000000,119.000000,121.000000,124.000000,129.000000,131.000000,133.000000,134.000000,136.000000,137.000000,138.000000,139.000000,140.000000,141.000000,145.000000,151.000000,152.000000,154.000000,158.000000,161.000000,163.000000,164.000000,165.000000,167.000000,168.000000,169.000000,170.000000,171.000000,172.000000,173.000000,175.000000,179.000000,183.000000,185.000000,187.000000,190.000000,194.000000,198.000000
DMU
1.000000,1.000000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2.000000,-,-,-,-,-,-,-,-,-,-,-,-,0.052538,-,-,-,-,-,-,0.234965,-,-,-,-,-,-,-,-,0.101224,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.112347,-,-,-,-,-,-,-,-,-,-,-,-,0.498926,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3.000000,-,1.000000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4.000000,-,-,1.000000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5.000000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.413569,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.039202,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.547228,-,-,-,-,-,-,-,-,-
6.000000,-,-,-,-,-,-,-,0.340202,-,-,-,-,-,-,-,-,-,-,-,0.383486,-,-,-,-,-,-,-,-,0.072513,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.153763,-,-,-,-,-,0.050037,-,-,-,-,-,-,-,-,-
7.000000,-,-,-,1.000000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8.000000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.668314,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.046400,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.195146,-,-,-,-,-,-,-,-,0.090141
